지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
잠실(송파구청),Y,457355.73333333334,552425.9833333334,741901.5666666667,653539.8500000001,4892902.199999999,496672.73333333334,0.908,0.092
강남,N,169253.36666666667,833196.0333333333,849324.0833333333,562597.0333333333,5059535.583333333,304524.55,0.943,0.057
고속터미널,Y,230917.8333333333,448714.5333333333,680976.1833333333,559507.2999999999,4454934.8,568487.5499999999,0.887,0.113
홍대입구,Y,248787.94234234234,317140.92432432435,590437.3085585586,692555.1513513513,4593204.123423424,236654.604054054,0.951,0.049
사당,Y,467319.4,274007.80000000005,368797.0333333333,626046.7833333332,3371591.2666666666,523158.73333333334,0.866,0.134
신림,N,728423.4166666666,155421.83333333334,266422.43333333335,634476.35,3369951.9000000004,442839.24999999994,0.884,0.116
선릉,Y,105832.76666666668,859297.3833333333,725257.3833333334,216960.75,3154484.55,450313.9833333333,0.875,0.125
구로디지털단지,N,449312.51666666666,485381.7833333333,476950.06666666665,420338.3333333334,3139709.916666667,320460.3833333333,0.907,0.093
신도림,Y,409601.7666666667,272268.1333333333,372475.6333333333,471520.48333333334,2978023.383333334,417385.0333333333,0.877,0.123
건대입구,Y,273720.6666666667,234801.74999999997,359441.86666666664,528960.0833333333,3055720.15,274517.56666666665,0.918,0.082
가산디지털단지,Y,101128.23333333334,967682.1499999999,813730.9166666667,167839.01666666666,3031372.466666667,209626.86666666664,0.935,0.065
종로3가,Y,52126.11666666667,391095.3833333333,529614.3,244724.98333333334,2201616.05,952108.8666666666,0.698,0.302
삼성(무역센터),N,66291.51666666666,683935.7833333333,656002.35,188841.2,2920453.5666666664,216069.61666666667,0.931,0.069
서울역,Y,177762.86437728937,493104.52802197804,488825.5154761905,292332.15119047614,2770896.3135531135,353897.36620879115,0.887,0.113
서울대입구(관악구청),N,438593.3333333333,171043.96666666667,255283.95,425886.5833333334,2503992.716666667,363099.3666666667,0.873,0.127
교대(법원.검찰청),Y,127586.43333333333,466659.2166666666,456807.56666666665,243564.38333333333,2335090.6333333333,415501.2666666667,0.849,0.151
역삼,N,66234.76666666666,714544.1666666667,580113.2333333333,154623.71666666665,2435776.8499999996,290327.75,0.894,0.106
합정,Y,197350.51666666666,288179.26666666666,364998.56666666665,363694.55,2488724.5166666666,205479.18333333335,0.924,0.076
영등포,N,139298.51666666666,287472.43333333335,385575.7166666667,319300.26666666666,2193880.9166666665,490175.2833333333,0.817,0.183
시청,Y,51228.649999999994,673168.6499999999,587520.8666666667,118635.56666666668,2337142.5166666666,285409.7,0.891,0.109
을지로입구,N,41332.53333333333,573635.1499999999,534593.2333333333,157453.4,2355890.166666667,196234.03333333333,0.923,0.077
여의도,Y,64997.066666666666,696948.7000000001,608625.1833333332,147330.98333333334,2371648.083333333,172589.46666666667,0.932,0.068
신촌,Y,130269.06666666667,245175.76666666663,309562.8666666667,321051.1833333333,2274056.933333333,254126.85,0.899,0.101
노원,Y,258850.98333333334,187150.81666666665,223975.89999999997,378349.81666666665,2108454.8666666667,385134.2666666666,0.846,0.154
청량리(서울시립대입구),Y,219544.06666666665,164866.76666666666,233874.28333333335,273302.05000000005,1497806.1333333333,864394.2666666667,0.634,0.366
강변(동서울터미널),N,310965.85,137473.3333333333,218915.2,335019.89999999997,2096152.35,248150.7,0.894,0.106
양재(서초구청),N,117346.16666666666,476638.1,418823.76666666666,198556.09999999998,1980853.3666666667,294498.1666666667,0.871,0.129
노량진,Y,258315.33333333334,232499.33333333334,224176.41666666666,305959.63333333336,2022219.5333333332,245275.28333333333,0.892,0.108
연신내,Y,406328.81666666665,101513.03333333333,155547.76666666666,360109.51666666666,1764084.4499999997,489383.68333333335,0.783,0.217
동대문역사문화공원,Y,68640.96666666667,318091.43333333335,377175.4166666667,205055.03333333333,2007705.25,236326.01666666666,0.895,0.105
종각,N,31268.48333333333,484523.25,448323.85,156221.19999999998,1968041.5333333332,271314.2,0.879,0.121
당산,Y,290046.26666666666,229377.3333333333,246885.95,319511.4666666667,1991143.4333333333,240805.90000000002,0.892,0.108
용산,N,88084.26666666666,317442.2,359032.4166666666,198034.4833333333,1982711.7833333332,239334.95,0.892,0.108
왕십리(성동구청),Y,220749.88333333333,152493.36666666664,241650.0333333333,339938.76666666666,1945120.0166666666,262411.0833333333,0.881,0.119
천호(풍납토성),Y,237524.05,171281.26666666666,234951.38333333333,334924.4,1784844.1833333333,421251.31666666665,0.809,0.191
혜화,N,67368.43333333333,266556.2,317315.1166666667,231788.06666666665,1959274.3833333333,243761.93333333332,0.889,0.111
대림(구로구청),Y,299547.3333333333,168539.68333333332,204437.11666666667,282857.2166666667,1890002.4666666666,284836.5833333334,0.869,0.131
이수,Y,253371.01666666663,187588.53333333333,213517.93333333335,328459.64999999997,1736800.0333333332,422331.4166666666,0.804,0.196
수유(강북구청),N,355863.3333333333,123894.54999999999,172674.59999999998,335988.43333333335,1755399.35,395304.2833333333,0.816,0.184
동대문,Y,87490.45,266708.4666666667,298744.6666666666,148680.01666666666,1612958.5666666667,526179.55,0.754,0.246
공덕,Y,159873.1,371976.95,337545.3333333333,224260.84047619047,1816194.2166666668,246563.0119047619,0.88,0.12
광화문(세종문화회관),N,38136.933333333334,478448.3333333333,421893.6333333333,124369.45,1764653.7166666668,158094.01666666666,0.918,0.082
압구정,N,64795.45,352677.2166666667,326128.3833333333,159622.71666666665,1659746.6833333333,259519.26666666666,0.865,0.135
남부터미널(예술의전당),N,108930.43333333335,312847.81666666665,315726.01666666666,179654.56666666668,1648328.55,230358.41666666666,0.877,0.123
명동,N,35133.799999999996,256811.36666666667,302868.1166666667,173300.55,1733825.2166666668,128037.73333333334,0.931,0.069
신사,N,49593.63333333333,286314.13333333336,320426.0,184064.6,1692174.8,133881.05,0.927,0.073
수서,Y,192387.41666666666,207259.5,209937.21666666667,216662.91666666666,1474488.8166666667,304508.4833333333,0.829,0.171
을지로3가,Y,39105.583333333336,430065.55,379498.4666666667,106727.26666666666,1502072.0166666666,259755.31666666665,0.853,0.147
신논현,N,102116.93333333333,223585.3833333333,257539.75,221794.23333333334,1648685.25,99594.96666666666,0.943,0.057
쌍문,N,362447.6333333333,67809.2,106202.68333333333,274392.10000000003,1411314.9,304245.7166666667,0.823,0.177
성수,N,83048.36666666667,419412.2333333333,357275.3166666667,123804.81666666665,1516189.3,194509.05,0.886,0.114
충무로,Y,44167.25,356596.48333333334,329020.4666666667,108186.98333333332,1443997.1166666667,232574.68333333332,0.861,0.139
미아사거리,N,272249.5,89661.1,133546.61666666667,264217.18333333335,1327167.3666666667,340874.44999999995,0.796,0.204
까치산,N,365574.1333333333,53760.899999999994,91155.38333333333,287980.5,1357344.1166666667,290920.8333333334,0.823,0.177
창동,Y,248491.8,95720.61666666667,125511.73333333334,255520.63333333336,1277830.8833333333,367111.8833333333,0.777,0.223
낙성대,N,295048.8,100494.04999999999,137274.61666666667,240654.1333333333,1421776.65,205886.03333333333,0.874,0.126
회현(남대문시장),N,28313.1,304034.43333333335,293064.64999999997,61529.416666666664,1245849.5166666666,361258.1666666666,0.775,0.225
화곡,N,338240.4333333333,69213.81666666667,102933.2,274831.1,1332323.85,260414.96666666667,0.836,0.164
신대방,N,308762.10000000003,78196.78333333333,110233.56666666668,235974.18333333335,1309645.6666666665,242469.93333333332,0.844,0.156
디지털미디어시티,Y,172805.49166666667,284383.69999999995,267500.18055555556,158970.61666666667,1382651.5805555554,159553.4638888889,0.897,0.103
회기,N,179372.53333333333,130461.26666666665,156081.31666666665,193735.9,1302332.5333333332,237098.81666666665,0.846,0.154
김포공항,Y,94989.14047619049,152895.8333333333,205416.34523809524,158819.73333333334,1389243.6642857143,130833.00952380951,0.914,0.086
성신여대입구,Y,164621.83205128205,109327.87564102565,159398.21794871794,207869.53205128206,1275641.832051282,224219.0987179487,0.851,0.149
영등포구청,Y,141250.25,240930.43333333332,221438.73333333337,150113.55,1211073.5499999998,227849.16666666666,0.842,0.158
강남구청,Y,51764.88333333334,327095.04999999993,265211.05,101978.56666666667,1262329.1,163155.36666666667,0.886,0.114
종로5가,N,26239.86666666667,221428.56666666665,247288.8833333333,84913.46666666667,913402.85,489826.6666666666,0.651,0.349
오목교(목동운동장앞),N,139248.91666666666,160058.26666666666,169119.2,191894.73333333334,1232900.15,156258.45,0.888,0.112
군자(능동),Y,231525.15,98434.63333333333,136255.0833333333,208946.56666666665,1181569.95,206567.88333333333,0.851,0.149
불광,Y,191320.78333333335,96791.03333333333,119724.31666666667,200572.03333333333,1019162.0999999999,354848.45000000007,0.742,0.258
잠실새내,N,189636.21666666665,78712.76666666666,120948.78333333333,221199.15000000002,1161109.15,204481.3833333333,0.85,0.15
안국,N,26037.11666666667,274596.4166666667,269722.39999999997,68796.76666666666,1147111.1666666665,197556.58333333334,0.853,0.147
신당,Y,125955.40000000001,161067.75,154551.18333333332,157030.16666666666,1070967.4666666668,260546.06666666665,0.804,0.196
개봉,N,240688.24999999997,63359.11666666667,87626.93333333335,228520.46666666667,1026536.0166666666,296016.6333333333,0.776,0.224
구의(광진구청),N,246312.28333333333,80769.83333333333,105113.13333333333,205951.75,1122338.15,197395.76666666663,0.85,0.15
경복궁(정부서울청사),N,57811.666666666664,230447.36666666664,225597.51666666666,95122.0,1154222.5666666667,162846.9,0.876,0.124
봉천,N,265310.4166666667,62292.0,91644.93333333333,202154.9,1040332.8499999999,275729.4166666666,0.79,0.21
석계,Y,220640.8833333333,59765.816666666666,85763.16666666667,227800.03333333333,1047324.6833333333,267266.81666666665,0.797,0.203
상봉(시외버스터미널),Y,213089.96666666667,88941.21666666667,118238.08333333334,197362.94999999998,1099115.9511299436,202388.89915254235,0.844,0.156
길음,N,231541.5,77905.75,101589.61666666665,189160.8,1039652.3333333334,229411.15,0.819,0.181
학동,N,32205.88333333333,360701.5333333333,287976.81666666665,56062.73333333333,1146247.25,108442.2,0.914,0.086
서초,N,64395.183333333334,265256.9666666667,221181.09999999998,76614.78333333333,1084521.0666666667,154623.01666666666,0.875,0.125
신설동,Y,83474.43461538461,185363.11923076923,183093.5987179487,97360.90384615384,855683.3474358974,325024.2576923077,0.725,0.275
청담,N,41856.433333333334,314077.06666666665,227509.2333333333,64166.88333333333,1031620.2333333333,133631.38333333333,0.885,0.115
구로,N,107772.06666666667,162798.4166666667,154125.01666666666,123727.88333333333,973226.3166666667,173190.75,0.849,0.151
구파발,N,210686.36666666664,73784.63333333333,91440.5,162258.13333333333,946455.2666666666,197827.25,0.827,0.173
가양,N,189950.05,88475.4,101614.71666666667,163144.1,911315.35,227056.51666666666,0.801,0.199
논현,N,41065.61666666667,261155.28333333333,208474.96666666667,89646.28333333333,1035276.7999999999,95508.13333333333,0.916,0.084
문래,N,114759.8,199409.63333333336,180249.53333333333,118628.53333333333,969681.8999999999,151140.18333333335,0.865,0.135
상계,N,226911.55,52917.16666666667,68523.58333333333,169595.1,892845.4333333333,217220.68333333335,0.804,0.196
동묘앞,Y,57087.166666666664,111028.76666666666,138393.0,79490.55,706139.9833333333,403351.63333333336,0.636,0.364
제기동,N,77317.0,103256.15,115426.3,76869.86666666667,506430.1666666666,598102.4333333333,0.459,0.541
방배,N,91551.93333333333,157417.3333333333,154915.28333333333,108368.19999999998,932854.1499999999,144556.23333333334,0.866,0.134
뚝섬,N,72815.61666666665,212341.1,198345.36666666664,97695.45000000001,958457.5666666667,115336.43333333332,0.893,0.107
하계,N,187106.9166666667,65373.48333333334,78808.33333333334,152757.73333333334,860028.5,190956.9,0.818,0.182
강동,N,183715.85,90114.56666666667,108194.84999999999,133021.51666666666,865684.5,180396.15000000002,0.828,0.172
홍제,N,182397.38333333333,61905.95,79714.65,154855.31666666668,773148.4833333334,269937.1,0.741,0.259
목동,N,173810.96666666667,67338.38333333333,79284.38333333333,185330.03333333333,883617.4833333333,158492.18333333335,0.848,0.152
장한평,N,150831.76666666666,121386.4,130373.43333333333,135121.8333333333,847168.2166666667,174097.26666666666,0.83,0.17
이대,N,62597.916666666664,105996.59999999998,132166.71666666665,100632.73333333334,896553.95,109385.3,0.891,0.109
응암,N,201838.8,41323.21666666666,62567.549999999996,172605.25,789813.0166666666,211054.2,0.789,0.211
을지로4가,Y,23144.916666666664,214986.0833333333,214970.6166666667,46857.8,752797.2,247750.73333333334,0.752,0.248
종합운동장,Y,105418.09999999999,88382.90000000001,99790.28333333333,154319.18333333332,876725.6499999999,123503.18333333332,0.877,0.123
가락시장,Y,96266.73333333334,124481.23333333334,120618.73333333334,118752.18333333332,752282.1,245629.53333333333,0.754,0.246
문정,N,68016.58333333333,250320.63333333333,201704.91666666666,72581.58333333334,899218.6666666667,96070.79999999999,0.903,0.097
도봉산,Y,176142.23333333334,61898.26666666667,73694.13333333333,120547.46666666666,719500.3333333333,271993.8833333333,0.726,0.274
발산,N,72139.68333333332,153103.41666666666,153772.4,104881.4,845641.5333333333,141370.96666666667,0.857,0.143
장지,N,133939.53333333333,106564.31666666665,119755.18333333332,123701.29999999999,854586.1,130750.01666666666,0.867,0.133
암사,N,230863.35,41957.35,61915.683333333334,162301.26666666666,804557.6666666667,180529.36666666667,0.817,0.183
온수(성공회대입구),Y,190463.35,75687.68333333332,72615.2,150284.2,826076.9833333333,155185.03333333333,0.842,0.158
압구정로데오,N,19954.48333333333,175916.41666666666,179133.18333333335,92825.95000000001,903439.9166666667,76194.61666666665,0.922,0.078
서대문,N,55809.33333333333,245204.53333333335,192193.68333333332,63543.049999999996,856016.8833333333,123473.41666666666,0.874,0.126
약수,Y,114035.88333333333,105377.01666666668,109493.25,121627.0,777820.3666666667,196117.55,0.799,0.201
독산,N,103796.68333333332,178804.11666666667,151411.8,99713.98333333334,805956.5333333333,123974.95,0.867,0.133
미아,N,154023.98333333334,70492.33333333334,76480.56666666665,127574.78333333333,702606.4833333334,221870.56666666668,0.76,0.24
남구로,N,94404.41666666667,176847.88333333336,148641.83333333334,95889.21666666667,807170.2833333333,111798.73333333334,0.878,0.122
염창,N,191000.03333333333,40628.86666666667,59981.84999999999,157966.69999999998,795723.3666666667,119591.4,0.869,0.131
신대방삼거리,N,172101.8333333333,67986.05,73156.96666666667,138225.71666666667,741887.0,170597.9166666667,0.813,0.187
사가정,N,159072.59999999998,53892.61666666666,70332.0,145915.86666666664,731317.8166666667,179002.93333333335,0.803,0.197
선정릉,Y,41921.6,199201.25,175958.3333333333,64113.066666666666,796275.5,101349.15,0.887,0.113
면목,N,175875.35000000003,52889.433333333334,62203.31666666666,141288.71666666667,722325.5333333333,171212.25,0.808,0.192
이태원,N,42188.6,63404.46666666666,100839.29999999999,132508.8333333333,819455.05,64200.11666666666,0.927,0.073
잠실나루,N,128766.83333333331,88905.35,87485.38333333333,103856.1,713481.3666666666,160083.51666666666,0.817,0.183
충정로(경기대입구),Y,74537.25,174840.68333333332,146847.6,78196.31666666667,747785.2000000001,124905.99999999999,0.857,0.143
신용산,N,39438.48333333334,173531.51666666666,170245.91666666666,73362.95,776790.9833333334,93152.91666666667,0.893,0.107
국회의사당,N,16794.216666666667,244049.8333333333,211094.66666666666,37384.53333333334,776330.4166666667,92358.71666666667,0.894,0.106
답십리,N,167254.26666666666,67260.41666666666,81685.7,127803.01666666666,718122.95,150376.8,0.827,0.173
한성대입구(삼선교),N,103862.2,79375.09999999999,88487.85,104067.41666666667,720398.2333333334,141494.23333333334,0.836,0.164
봉은사,N,26920.666666666668,163853.33333333334,171964.91666666666,58765.86666666667,780024.8333333333,76068.65,0.911,0.089
숙대입구(갈월),N,65524.53333333333,118914.48333333334,124110.18333333332,89813.41666666666,752833.5166666666,100303.31666666667,0.882,0.118
석촌,Y,121444.07342342343,70662.71036036036,83940.9,123066.67567567568,701220.6085585585,151321.231981982,0.823,0.177
우장산,N,149833.46666666667,53934.48333333334,58077.566666666666,131569.81666666665,683505.1833333333,160849.36666666664,0.81,0.19
아차산(어린이대공원후문),N,137452.68333333332,58062.01666666666,70882.51666666666,122466.54999999999,661412.05,174999.86666666664,0.791,0.209
망원,N,91748.86666666667,68070.05,88885.88333333333,118751.71666666666,673685.2166666667,159186.23333333334,0.809,0.191
한티,N,61224.83333333333,111460.83333333331,110058.08333333333,92892.06666666667,706485.2166666667,124056.4,0.851,0.149
중계,N,165004.86666666667,59171.66666666666,52635.433333333334,119367.44999999998,655013.1166666667,168811.83333333334,0.795,0.205
어린이대공원(세종대),N,70242.88333333333,101098.5,108956.80000000002,74388.9,744063.5,79048.48333333334,0.904,0.096
태릉입구,Y,114188.55,64616.88333333334,77843.63333333333,112655.11666666667,690299.5666666667,132116.55,0.839,0.161
대방,N,98501.15,115904.88333333333,102529.48333333334,92801.81666666667,672820.7833333334,130391.70000000001,0.838,0.162
숭실대입구(살피재),N,122603.34999999999,59368.53333333333,69847.68333333333,112098.13333333333,688217.75,111191.88333333333,0.861,0.139
내방,N,66653.06666666668,150110.3,130994.66666666666,73710.91666666666,674445.3166666667,119394.16666666667,0.85,0.15
마곡나루,Y,82119.31666666667,123950.45833333334,138600.18333333332,86123.60833333332,734019.8083333333,56440.95833333333,0.929,0.071
마포,N,79607.06666666665,128861.6,114886.9,96963.15,669658.5833333333,116681.13333333333,0.852,0.148
상왕십리,N,128909.51666666666,67385.38333333333,72190.1,108467.34999999998,641478.8833333333,124748.11666666665,0.837,0.163
수락산,N,133213.56666666668,43366.23333333334,55772.5,113194.18333333333,593163.4166666667,170000.4166666667,0.777,0.223
마포구청,N,122780.6,68849.93333333333,80741.95,92376.84999999999,611648.9833333334,141520.8,0.812,0.188
광나루(장신대),N,118087.68333333333,69622.13333333333,75057.6,93435.95,628800.4166666667,123362.76666666666,0.836,0.164
